strategy,timeframe,composite,sortino,sharpe,calmar,trades_per_day,max_drawdown,total_return,n_trades,length,mult,rsi_window,rsi_lower,rsi_upper,atr_ratio_threshold,garch_window,vol_percentile,k,horizon,max_bars_back,kernel_lookback,kernel_alpha,ema_len,fast_window,slow_window,sl_stop,tp_stop,n_estimators,max_depth,xgb_threshold,use_garch,train_window_bars,predict_window_bars
vec_rsi_xgb_regime,4h,1.135785770288012,1.048192238170052,1.1126180474189715,1.2757448693143325,0.4179206566347469,0.1302366424299921,0.8510239091706028,611,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,5,0.5,,1080,180
vec_rsi_xgb_regime,4h,1.1290153357969328,1.0592523910878924,1.1083388648955126,1.2427090663104066,0.4623803009575923,0.1395495157952464,0.8976906063983494,676,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,5,0.4,,1080,180
vec_rsi_xgb_regime,4h,1.067711875032316,0.9935035168804102,1.055835801246391,1.1785324263541153,0.4411764705882353,0.135439066042279,0.8098541056759646,645,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,5,0.45,,1080,180
vec_rsi_xgb_regime,4h,1.0609308840422955,0.977285292808328,1.084695235341082,1.148693987722132,0.3645690834473324,0.1320471453025514,0.7607351394980364,533,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,3,0.6,,1080,180
vec_rsi_xgb_regime,4h,1.0560677637454745,1.0251660324399166,1.074305175438162,1.0790326604601967,0.4507523939808481,0.1687235903022523,0.9542797178398944,659,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,3,0.45,,1080,180
vec_rsi_xgb_regime,4h,1.0552271163285931,1.00599101431531,1.0247938305268995,1.1513085381479986,0.4890560875512996,0.1525026200962152,0.911710736913279,715,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,200,3,0.4,,1080,180
vec_rsi_xgb_regime,4h,1.0491336999069365,0.9505901725232726,1.019946388272397,1.2097123813863613,0.4254445964432284,0.1253856169903346,0.760727615135837,622,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,3,0.5,,1080,180
vec_rsi_xgb_regime,4h,1.0340853686756195,0.979887963506728,1.0894771834542951,1.050956760788799,0.3727770177838577,0.1645393387733607,0.8944811236126503,545,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,3,0.55,,1080,180
vec_rsi_xgb_regime,4h,1.0148775135905594,0.9461040194769772,0.9635759489410276,1.1578770703915346,0.5,0.142217601919294,0.8416423276279243,731,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,3,0.4,,1080,180
vec_rsi_xgb_regime,4h,1.0084008140563463,0.946799717642922,1.0118272634013068,1.0871091599292857,0.4158686730506156,0.1367160540722625,0.7420904370798147,608,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,5,0.5,,1080,180
