strategy,timeframe,composite,sortino,sharpe,calmar,trades_per_day,max_drawdown,total_return,n_trades,length,mult,rsi_window,rsi_lower,rsi_upper,atr_ratio_threshold,garch_window,vol_percentile,k,horizon,max_bars_back,kernel_lookback,kernel_alpha,ema_len,fast_window,slow_window,sl_stop,tp_stop
lorentzian_knn,4h,1.2677892966153097,1.2849117244406292,1.119888807095667,1.392859882367859,0.4507523939808481,0.1479379109484581,1.118136892322305,659,,,,,,,,,4,8,500,16,0.5,,,,0.03,
lorentzian_knn,4h,1.263828031989049,1.4006742173523228,1.215147108364074,1.1300473751296587,0.5294117647058824,0.2163481550090642,1.4017105414184294,774,,,,,,,,,2,8,1000,16,2.0,,,,0.05,
lorentzian_knn,4h,1.2614108218846791,1.4211952973742978,1.124366834659794,1.1854088417900726,0.8980848153214774,0.1876740750761184,1.2359980261243264,1313,,,,,,,,,2,4,500,8,2.0,,,,0.03,
lorentzian_knn,4h,1.2569214917537466,1.409785993949117,1.1145610967992323,1.1954625504477665,0.8987688098495212,0.1840977931794074,1.218548443208144,1314,,,,,,,,,2,4,500,8,1.0,,,,0.03,
lorentzian_knn,4h,1.2538089754018824,1.2609152601456042,1.0957918184074396,1.4023510860713626,0.4507523939808481,0.1424064392930151,1.0737937585704036,659,,,,,,,,,4,8,500,16,1.0,,,,0.03,
lorentzian_knn,4h,1.238400533654818,1.4500210315866464,1.131432423570384,1.0632079798301477,0.820109439124487,0.2132419872636768,1.267302198820792,1199,,,,,,,,,4,4,500,8,2.0,,,,0.03,
lorentzian_knn,4h,1.2374386245193914,1.3904758271291648,1.0993369769638623,1.1714906685952224,0.9035567715458276,0.1847810943943976,1.1923496477130882,1321,,,,,,,,,2,4,500,8,0.5,,,,0.03,
lorentzian_knn,4h,1.2226517381482038,1.4374721524073102,1.1208074331752655,1.0380688241090004,0.8194254445964432,0.2157833948320874,1.2472113859296194,1198,,,,,,,,,4,4,500,8,1.0,,,,0.03,
lorentzian_knn,4h,1.2187584958107731,1.3416936030295945,1.163067565468073,1.1105359498617111,0.5341997264021888,0.2093548987067182,1.310368117649196,781,,,,,,,,,2,8,1000,16,1.0,,,,0.05,
lorentzian_knn,4h,1.212863975177188,1.3306668955954997,1.208862281784282,1.0597951080123449,0.5813953488372093,0.2105930405153381,1.2412413206497313,850,,,,,,,,,2,8,1000,16,2.0,,,,0.03,
lorentzian_knn,4h,1.195703699647837,1.3289020595640393,1.155443638821502,1.0583659472525688,0.5328317373461012,0.2179668681976604,1.296825460912983,779,,,,,,,,,2,8,1000,16,0.5,,,,0.05,
lorentzian_knn,4h,1.1901164199059917,1.29459799137688,1.0454360517458905,1.195488026104909,0.5882352941176471,0.1807551557428802,1.189616842081263,860,,,,,,,,,2,4,500,16,2.0,,,,0.05,
lorentzian_knn,4h,1.1625703087064596,1.2760450492186288,1.0311896151353557,1.1426513482613383,0.5848153214774282,0.1860546881841008,1.1645167661364182,855,,,,,,,,,2,4,500,16,1.0,,,,0.05,
lorentzian_knn,4h,1.1591646792603625,1.2857390512429554,1.166338697960662,0.9832248312499384,0.5820793433652531,0.2175024939013557,1.173527915941154,851,,,,,,,,,2,8,1000,16,1.0,,,,0.03,
lorentzian_knn,4h,1.1581064095662017,1.2977643150526703,1.045328478362935,1.0846738001208425,0.579343365253078,0.1993543396695275,1.1906542674547895,847,,,,,,,,,2,4,500,16,0.5,,,,0.05,
lorentzian_knn,4h,1.1472589709737808,1.2227084624156397,1.1655221212385714,1.028396498786512,0.3885088919288645,0.2051373293117324,1.152862356552555,568,,,,,,,,,16,8,1000,16,0.5,,,,0.03,
lorentzian_knn,4h,1.136671059775818,1.2071698666662811,1.1527654199119577,1.0265782904523948,0.3830369357045143,0.2022973100544519,1.1295378518121126,560,,,,,,,,,16,8,1000,16,1.0,,,,0.03,
lorentzian_knn,4h,1.1364961769322048,1.1995486500827854,1.1507274754831542,1.0381949141804816,0.3850889192886457,0.2009491768359742,1.1362591572369842,563,,,,,,,,,16,8,1000,16,2.0,,,,0.03,
lorentzian_knn,4h,1.1293885722583106,1.286052639754413,1.0779940461582709,0.9718976750302136,0.6922024623803009,0.2025561771168078,1.054198078088247,1012,,,,,,,,,8,8,1000,8,1.0,,,,0.03,
lorentzian_knn,4h,1.1280258838419048,1.2549504181907734,1.1390890521062764,0.9477300031123757,0.5841313269493844,0.2200470859814814,1.135698518958876,854,,,,,,,,,2,8,1000,16,0.5,,,,0.03,
