strategy,timeframe,composite,sortino,sharpe,calmar,trades_per_day,max_drawdown,total_return,n_trades
volty_expan_close+atr_ratio+garch,4h,2.4656696808796448,1.8312180858142395,1.960196305771202,3.817078516075294,0.106703146374829,0.1284155488814121,3.9428133505605545,156
volty_expan_close+atr_ratio+garch,4h,2.410895738693207,1.549996374085143,1.8491931961303696,4.120464100733464,0.1073871409028727,0.0933599259218251,2.6833633042386893,157
volty_expan_close+atr_ratio+garch,4h,2.3917502772760812,1.7420976202182064,1.922466939860632,3.727237157435364,0.1196990424076607,0.1194069995830761,3.3700907216709353,175
volty_expan_close+atr_ratio+garch,4h,2.3784054186846983,1.52008009870141,1.8523667819854497,4.0488778153616645,0.0971272229822161,0.0961480160609305,2.7326840677815474,142
volty_expan_close+atr_ratio+garch,4h,2.3103137347786693,1.6934868216287902,1.8252798873856848,3.6177834663714927,0.1183310533515731,0.1199273126635879,3.2361315622642364,173
volty_expan_close+atr_ratio+garch,4h,2.162618369246154,1.4792582135622083,1.749471972177262,3.486911640560306,0.1019151846785225,0.1004017271112763,2.328336584486116,149
volty_expan_close+atr_ratio+garch,4h,2.1555798168862426,1.5917393646537854,1.769195299019254,3.293751604396508,0.1333789329685362,0.1183614417577879,2.7387324309220373,195
volty_expan_close+atr_ratio+garch,4h,2.1456426118379532,1.5979870670783445,1.8284156857723657,3.193076930916352,0.1108071135430916,0.1286356333859309,2.9689838669534585,162
volty_expan_close+atr_ratio+garch,4h,2.1164620596970396,1.5336657436938808,1.7914540651607087,3.218531808904248,0.0875512995896032,0.1232674011697702,2.8135001146555885,128
volty_expan_close+atr_ratio+garch,4h,2.0373990907852537,1.4534411242695844,1.8120291508527984,3.0413796527386014,0.0916552667578659,0.1237616200148715,2.595919247354301,134
volty_expan_close+atr_ratio+garch,4h,2.0342357972354845,1.473971994191223,1.787817978408926,3.027672020121059,0.0937072503419972,0.1194635717408955,2.4444288065955013,137
volty_expan_close+atr_ratio+garch,4h,2.0334026829703062,1.5521842383719469,1.7018034165801312,3.006626542158294,0.1292749658002736,0.1223508699055832,2.5073446351747037,189
volty_expan_close+atr_ratio+garch,4h,2.0064452944203786,1.5308797369540554,1.7364195177749715,2.9105584810208835,0.1162790697674418,0.1285405945712978,2.57210481328263,170
volty_expan_close+atr_ratio+garch,4h,2.00620840821839,1.3670567943098306,1.628354251961665,3.2362647163531975,0.0957592339261285,0.1065183807698946,2.2756175925115594,140
lorentzian_knn,4h,1.9790256990143311,2.0462850604182967,1.6853827398279824,2.18298950966206,0.7318741450068399,0.1582322669253718,2.2824311368467343,1070
volty_expan_close+atr_ratio+garch,4h,1.9767720223815948,1.5304757126446094,1.6371651234989528,2.9114406675802167,0.1251709986320109,0.1257493661449231,2.4893878968934544,183
lorentzian_knn,4h,1.9705877117102648,2.038930170947365,1.6782549024045212,2.171797242033208,0.7318741450068399,0.1578262218988969,2.256580967714841,1070
volty_expan_close+atr_ratio+garch,4h,1.940967662745286,1.6186666812433996,1.7659563468409465,2.5457136206521396,0.1121751025991792,0.1575888483095142,2.8622505821241484,164
volty_expan_close+atr_ratio+garch,4h,1.9381757143836371,1.4799190170267498,1.6678596951665423,2.8195006634099156,0.1265389876880985,0.1277659103560408,2.4296538622641255,185
volty_expan_close+atr_ratio,4h,1.9346959258088328,1.6421950376644956,1.6339052986616898,2.6254877371484246,0.1470588235294117,0.159778990077832,3.068571497599715,215
lorentzian_knn,4h,1.9188481940248203,2.00885933974533,1.6574044986047964,2.0602770284841654,0.7291381668946648,0.1641251323885008,2.2118950542773907,1066
volty_expan_close+atr_ratio+garch,4h,1.9168603011403471,1.6063400992680332,1.7165255649070468,2.5312219732033996,0.1196990424076607,0.1586598238227708,2.8669694296055304,175
volty_expan_close+atr_ratio+garch,4h,1.894632657275693,1.5301634344044397,1.6507891479316072,2.624435130448117,0.1299589603283173,0.1434451357081285,2.5965093442657903,190
volty_expan_close+atr_ratio+garch,4h,1.881048198973883,1.3389496268320071,1.550537579336761,2.934356914800173,0.0984952120383036,0.1072285205851293,1.9918619389419636,144
volty_expan_close+atr_ratio+garch,4h,1.8702335353037989,1.3905347091094142,1.684018498351318,2.696047007182126,0.1060191518467852,0.1279435848604375,2.2777672600720633,155
volty_expan_close+atr_ratio+garch,4h,1.8627157194281792,1.3456842651984162,1.5682376046932835,2.8465691064694267,0.1053351573187414,0.114686813501642,2.1010596639457915,154
volty_expan_close+atr_ratio,4h,1.850158407684401,1.4297347956424444,1.6240805556146194,2.6368010758101255,0.0998632010943912,0.1372207201808567,2.445718207722885,146
volty_expan_close+atr_ratio+garch,4h,1.836640814582407,1.4021732228379598,1.615110869838805,2.6374608816519376,0.100547195622435,0.1314521644463557,2.2949643965735818,147
volty_expan_close+atr_ratio,4h,1.8286359544673088,1.399395464842922,1.6975051506645975,2.532087411102536,0.1053351573187414,0.138340590055225,2.330297497644553,154
lorentzian_knn,4h,1.8144819986533056,1.680393588119686,1.496738575197913,2.311009969486858,0.5150478796169631,0.123833765531673,1.7406733341818574,753
volty_expan_close+atr_ratio,4h,1.8065846662076896,1.4700130325386016,1.5559760701205063,2.5059554405203226,0.1538987688098495,0.1409739268824695,2.3598768111290256,225
volty_expan_close+atr_ratio+garch,1h,1.7980533397910223,1.412390933300299,1.5526434974195982,2.5576797241500784,0.4644322845417236,0.1260198931835781,2.062125852528554,679
volty_expan_close+atr_ratio+garch,4h,1.7896302406800166,1.4366865283183827,1.6673182542690848,2.3825338435731283,0.0902872777017783,0.1455356925781145,2.295393435148038,132
volty_expan_close+atr_ratio+garch,4h,1.7785684385630636,1.367967882291352,1.586714149364716,2.5178901361236936,0.1703146374829001,0.1155517564717209,1.7815797073249913,249
lorentzian_knn,4h,1.7659335187010288,1.7849369068591472,1.5992106326339777,1.9073185538905884,0.655266757865937,0.1588441361517009,1.8867892249088656,958
volty_expan_close+atr_ratio,4h,1.757755258470392,1.346361546188387,1.617007146798957,2.4470283198511664,0.106703146374829,0.1282104011719226,1.9835537552476423,156
lorentzian_knn,4h,1.753175313396633,1.7930046166314677,1.4677326810913391,1.9855122080554808,0.8146374829001368,0.1441031748630996,1.7401402616585555,1191
