strategy,timeframe,composite,sortino,sharpe,calmar,trades_per_day,max_drawdown,total_return,n_trades
rsi_ema_filter,1h,3.527109761897722,0.7317019211619036,3.1936067565759902,7.587823221533879,0.010958904109589,0.0056617273002602,0.0430653590823778,4
rsi_ema_filter,1h,3.512081507048445,0.4503181828165036,2.945374627565058,8.161139485507753,0.010958904109589,0.002225539697323,0.0182068751890524,4
volty_expan_close+atr_ratio+garch,4h,3.0081465089608184,2.045206440109869,2.1886640908714465,5.1115490188514565,0.0767123287671232,0.0777030882310972,0.3984640032637369,28
volty_expan_close+atr_ratio+garch,4h,2.806113006974603,2.0059887411980277,2.0879746699630117,4.59108369835496,0.0986301369863013,0.0911072358145549,0.4196394362924937,36
rsi+atr_ratio_low,4h,2.7329275633758163,1.0350271529007256,2.3764528491915935,5.353269491526827,0.0191780821917808,0.0237309487029299,0.1274075008716085,7
volty_expan_close+atr_ratio+garch,4h,2.665271856969977,2.086471312424029,2.1403371376535043,3.961940635681048,0.0986301369863013,0.1105082389508801,0.4392582668028943,36
volty_expan_close+atr_ratio+garch,1h,2.5613909061605553,1.7986020557511748,1.9533151112535412,4.18651850161341,0.3671232876712328,0.0834486494723705,0.350328895581548,134
volty_expan_close+atr_ratio+garch,4h,2.528241323517754,1.995543983465208,2.0216979282786505,3.745047838826919,0.1041095890410958,0.1116789241253044,0.419601263856795,38
volty_expan_close+atr_ratio+garch,4h,2.5132564656369354,1.5819180823123271,1.7953935978369175,4.472903844536431,0.2931506849315068,0.0570079820914184,0.2557724087806108,107
rsi_ema_filter,1h,2.4759480148499744,0.4606049370218533,2.5711741913715356,5.067845942099241,0.010958904109589,0.0056617273002602,0.0287625256040529,4
volty_expan_close+atr_ratio+garch,4h,2.4709121090040225,1.796086529146061,1.8942955488519264,3.947296108966734,0.4136986301369863,0.0814012397626346,0.3223238241763499,151
volty_expan_close,4h,2.4459384478719803,1.8462418079398264,1.8252187529429,3.8662536627105992,0.084931506849315,0.0976408671732941,0.3787135977575819,31
volty_expan_close+atr_ratio,4h,2.4414008500938023,1.8890273240947495,1.855450809231339,3.7638489256216694,0.1315068493150684,0.1105082389508804,0.4172861373414999,48
volty_expan_close,4h,2.435378085419166,2.0268630455957495,1.833614937243528,3.58182795335936,0.0958904109589041,0.1317874530272318,0.4736001602050994,35
rsi+atr_ratio_low,4h,2.431241488628429,0.5413180988499903,2.5072832463360677,4.875097583958708,0.0054794520547945,0.0164645664934034,0.0804948988738265,2
rsi+atr_ratio_low,4h,2.431241488628429,0.5413180988499903,2.5072832463360677,4.875097583958708,0.0054794520547945,0.0164645664934034,0.0804948988738265,2
volty_expan_close+atr_ratio+garch,4h,2.3161097707199496,1.802565706333296,1.8299650875500573,3.4869798730720465,0.4,0.0840683407778696,0.2940557211686064,146
vec_rsi_regime,4h,2.312430049343593,2.0073776962893968,1.7754357977760589,3.256160771650056,0.6575342465753424,0.1164107354617225,0.3802669126929187,240
volty_expan_close,4h,2.2644782311282325,1.764654594587661,1.6582166673406746,3.53717131030322,0.084931506849315,0.1101618122364236,0.3909145937161509,31
rsi_ema_filter,4h,2.2546502255849106,0.4576695915462583,2.3339199966046738,4.57135463328335,0.0027397260273972,0.0129536069640939,0.0593824899975882,1
volty_expan_close,4h,2.2209878073681355,1.8079548798771352,1.783570988543946,3.209115196180325,0.0958904109589041,0.1146661184573124,0.3691516218381006,35
volty_expan_close,4h,2.212465107040389,1.8412533843069565,1.7122621808815872,3.207616996843768,0.1123287671232876,0.1296297942230555,0.4171520584750974,41
volty_expan_close+atr_ratio,4h,2.1554577877801715,1.7274823938017425,1.739163500584991,3.142385933613257,0.1397260273972602,0.1210368805307439,0.3815641178633078,51
rsi+atr_ratio_low,4h,2.1441631243093893,0.9252873124493214,2.083754723345237,3.829739274420299,0.0191780821917808,0.0296334134712292,0.1138162337107576,7
volty_expan_close+atr_ratio+garch,4h,2.113049332196891,1.7685725595596615,1.8793708132440523,2.8060302146660367,0.0821917808219178,0.1179232059372549,0.3319387882612651,30
volty_expan_close,4h,2.112452889693593,1.760363260491617,1.6561703577868532,3.038188260536301,0.0931506849315068,0.1278774525348039,0.3897649942668151,34
vec_rsi_regime,4h,2.064574261622723,1.8567457260483808,1.6738945197879584,2.73235871755661,0.6410958904109589,0.1254287226737932,0.3438007872425873,234
volty_expan_close+atr_ratio+garch,1h,2.0538817539897973,1.5592936354234466,1.710106645073285,3.057107687661445,0.3561643835616438,0.0969061449005569,0.2970590857238959,130
volty_expan_close+atr_ratio+garch,4h,2.0433879608227716,1.3344259265503613,1.489298871541472,3.542759762467286,0.3397260273972602,0.0600109184183141,0.2132448584980069,124
vec_rsi_regime,1h,2.0241195635977194,1.6520486041291764,1.7665798829325303,2.7777538568876325,0.5041095890410959,0.1035448268883097,0.2884026041483259,184
rsi+atr_ratio_low,30m,2.014110545672199,0.7561687067890226,2.097667935790215,3.607808940731751,0.1342465753424657,0.0355201402045666,0.1284760287396638,49
vec_rsi_regime,1h,2.012609662203786,1.6028772538757488,1.9655719423384204,2.6059572598398675,0.5068493150684932,0.1071822599727516,0.2800680451848846,185
volty_expan_close+atr_ratio,4h,2.0102563786673717,1.63135010636774,1.6837481056050452,2.841973014795873,0.1095890410958904,0.1179232059372555,0.336192239124319,40
volty_expan_close+atr_ratio+garch,4h,1.983813450488284,1.3141973222983778,1.5771351337548267,3.28331327147495,0.3095890410958904,0.0691379431114597,0.2276894227333318,113
rsi+atr_ratio_low,4h,1.9820519438426103,1.1003074104562245,1.933312010000683,3.2064512555330533,0.0191780821917808,0.0545527831602379,0.1754398537002364,7
volty_expan_close+atr_ratio+garch,4h,1.9526666595856448,1.6376755784089965,1.7360424665982823,2.589278960808537,0.0931506849315068,0.1190841320646599,0.3093057649332101,34
vec_rsi_regime,1h,1.942999567491611,1.620663944596631,1.950915962901996,2.3648640026078662,0.4986301369863014,0.1185003747258141,0.2809956927674233,182
volty_expan_close+atr_ratio+garch,4h,1.866397354971895,1.6241987027797051,1.6253318240379329,2.43039442216211,0.4438356164383562,0.1088985566949762,0.265480279981755,162
vec_rsi_regime,4h,1.865554045420072,1.2040933728256595,1.7452237266488135,2.8678319276505477,0.1232876712328767,0.0799261193796698,0.2299098866361935,45
volty_expan_close+atr_ratio+garch,4h,1.855290702944898,1.4080130835099136,1.5642517114051535,2.7426998537312883,0.4136986301369863,0.0961128012445433,0.2644188214134434,151
volty_expan_close+garch,4h,1.8495179215359816,1.6715493983975578,1.608224651291311,2.328102555965216,0.1506849315068493,0.1464266355243922,0.3419742907333353,55
vec_rsi_regime,4h,1.823186539969688,1.4686656635254909,1.4195874056862556,2.699480176178716,0.5315068493150685,0.0968686513804745,0.2622981148960718,194
vec_rsi_regime,1h,1.8227217955197752,1.598864131141018,1.9184652065335936,2.025455270344301,0.5315068493150685,0.136104946630618,0.2764192756256197,194
vec_rsi_regime,1h,1.8190355841664587,1.5006175672657245,1.6288070060671025,2.4338215181334615,0.4904109589041096,0.1081564441525136,0.2639413162707499,179
volty_expan_close+atr_ratio+garch,4h,1.8082990432588264,1.198964004527298,1.417658687232324,3.0113861175940335,0.2931506849315068,0.0661795361829536,0.1998894061783324,107
